ITEM NO.,CATEGORY ,ITEM,Sub category,TABS,Food type/Legends,PRICING,NUTRITIONAL VALUE ,,,,MF,DESCRIPTION,PHOTO LINK,PROTOTYPE,PRE PRODUCTION,PLATING ,CUTLERY IN HOUSE,PHOTO// MENU DESIGN,DELIVERY STANDARDISATION,DELIVERY Packaging READY,PRINT 
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CALORIES,PROTEINS,FATS,CARBS,,,,,,,,,,,
20,PLATTERS,Yogi platter,platters,PLATTERS,vegan,420,,,,,,,https://drive.google.com/drive/folders/1b0KThwtx7dZVEW8Sy7i1LJrQpC456T1y,,,,,,,,
21,,zulfi platter,,,veg/contains egg,380,,,,,,"eggs, (of your choice), hash browns, babaganoush, salad, roasted mushrooms, vegan mayo and spinach and corn creamy drip with sour dough toast. ",https://drive.google.com/drive/folders/1BV8uLaz7Kh290UJMwhdZZSc2tuwnC5n8,,,wooden platter,,,,,
22,,mezze platter,,,vegan,590,,,,,,"medditeranean platter with roasted veggies, chips, falafel, hummus, babaganoush, muhamarra, fetta cheese, pickles and pita bread",https://drive.google.com/drive/folders/1cUd3MKZ4mR6Rm2UmOYEN0-sO_VZZ9tvG,,,wooden platter,,,,,
23,,kebab platter,,,vegan/veg,590,,,,,,,https://drive.google.com/drive/folders/1cTY-vmIEDqkti6-u2Da4IsjAzYfNsQ5e,,,wooden platter,,,,,
24,EARTH BOWLS,Thai bowl,Earth bowls,EARTH BOWLS,vegan,620,,,,,,"tofu krapow, pomelo /citrus salad, jasmine rice, steamed greens with a side of nam prik sauce ",https://drive.google.com/drive/folders/1KQZhZr7aAv7MwqhdMJA6G5E00XqSrRJt,,,wooden bowl-small/flat,,,deliverable,,
25,,tokyo katsu ,,,vegan,550,,,,,,"jasmine rice, crispy eggplant katsu, curry sauce, steamed greens and salad",https://drive.google.com/drive/folders/1kQH2OJsqnCAlJTCXKCAl92rhqM4j6VpJ,,,wooden bowl-small/flat,,,deliverable,,
26,,rangla punjab,,,veg,420,,,,,,"Malai kofta, saag,millets, salad and makki "" corn"" roti.",https://drive.google.com/drive/folders/1K1OLrPtg8XMVOF-pFAHAmMZxJ05ysMbg,,,wooden bowl-small/flat,,,deliverable,,
27,,mexican,,,vegan,410,,,,,,"black beans, millets, sour cream, roasted corn and peppers, avacado and plantain fritters ",https://drive.google.com/drive/folders/1i5g0SJESvH9nqNm43UPRrcLZ1nld60g_,,,wooden bowl-small/flat,,,deliverable,,
28,,mediteranian bowl,,,vegan,380,,,,,,"beetroot hummus, fetta, millets, falafel , grilled veggeies with a side of tahini dressing ",https://drive.google.com/drive/folders/1mXdfPr7bzRepCn-rWsSI_FiuczaZntf_,,,wooden bowl-small/flat,,,deliverable,,
29,NOODLE BOWLS,khao soi,Noodle bowls,NOODLE BOWLS,vegan,480,460 kcal,20 gm,18gm ,30gm ,,"Coconut and spiced turmeric broth with udon noodle, veggies and tofu, topped with crispy rice noodle, fried shallots, peanuts, coriander and green onions.",https://drive.google.com/drive/folders/1sIpM775hA4Iqx79zuncag8Kssebk7F0k,,,green bowl,,,deliverable,,
30,,laksa,,,vegan,515,530 kcal,22 gm,20gm,30 gm,,"Spicy peanut broth, rice noodles, crispy tofu, bok choi, pickled cabbage and corn",https://drive.google.com/drive/folders/1pLJyo6OUADJ_2EzFUg9x-Dr6JXhGCMyv,,,green bowl,,,deliverable,,
31,,miso ramen,,,vegan,450,355kcal,12gm,9.5 gm ,53gm,,"Creamy miso broth, udon noodles, mushrooms, bon choi and kimch",https://drive.google.com/drive/folders/1_swZa5w0KEFo7QkxveY6bVnqTXij4TCC,,,white bowl,,,deliverable,,
32,,kimchi cold noodle,,,vegan,420,360 kcal,12gm,10 gm,60 gm,,"Spicy korean style noodles made with soba, spicy kimchi and gochugang sauce, fresh veggies (egg optional",https://drive.google.com/drive/folders/1XyB6f4EuTSQE_Lb2BS-L8LP7Nevpggsv,,,white bowl,,,deliverable,,
33,PASTA/PIZZA,plant ball parmesiana ,pasta,PASTA PIZZA,veg,510,423 kcal,15gm,17 gm,53 gm,,"Roasted egg plant plantballs cooked in aromatic tomato sauce, with spaghetti, fresh basil and parmesan cheese",https://drive.google.com/drive/folders/1V4EGvridIm-dX2gWrSoM7Gv_uU7oFFWV,,,flat blue plate,,,deliverable,,
34,,green zuchini ,,,veg/gluten free,470,340 kcal,12 gm,28 gm,12 gm,,"Zucchini ‘noodles’, creamy pesto, topped with fresh greens, basil, cherry tomatoes, boccocini",https://drive.google.com/drive/folders/1QKqSPapUTnp3L7T4R8dy7q_K8tyKEzip,,,flat blue plate,,,deliverable,,
35,,margarita,sour dough pizza ,,veg,,,,,,,"classic margarita pizza, rich tomato sauce, basil and mozarella ",,,,,,,,,
,,mushroom /fungai,,,veg,,,,,,,"creamy alfredo sauce, miso paté and roasted mushrooms, mozarella  and fresh thyme ",,,,,,,,,
,,"pesto, buratta and argurula",,,veg,,,,,,,"creamy pesto, buratta cheese, fresh rocket leaves ",,,,,,,,,
,,plant ball parmgiana ,,,veg,,,,,,,"roasted eggplant, our signature plant balls, creamy tomato bas, mozarella, fresh basil and parmesean",,,,,,,,,
36,DESSERTS ,coconut panacotta ,desserts,Desserts,vegan,220,247 kcal,2 gm,23 gm,11gm,,coconut panacotta with fresh mangos and passion fruit coulis ,,,,,,,,,
37,,chocolate mousee,,,vegan,289,389 kcal,5.3 gm,30 gm,29 gm,,"vegan dark chocolate orange mousse, orange concentrate, almond praline slated tuile ",,,,,,,,,
